pizza_id,size,budget_cost,actual_cost
bbq_ckn_s,S,6.5,6.75
bbq_ckn_m,M,8.5,8.75
bbq_ckn_l,L,10.5,11
cali_ckn_s,S,6,6.2
cali_ckn_m,M,8,8.25
cali_ckn_l,L,10,10.5
ckn_alfredo_s,S,6.5,6.7
ckn_alfredo_m,M,8.5,8.8
ckn_alfredo_l,L,10.5,11
ckn_pesto_s,S,7.5,7.8
ckn_pesto_m,M,8,8.25
ckn_pesto_l,L,9.5,9.8
southw_ckn_s,S,6.5,6.75
southw_ckn_m,M,8.5,8.75
southw_ckn_l,L,10.5,11
thai_ckn_s,S,6,6.2
thai_ckn_m,M,8,8.25
thai_ckn_l,L,10,10.5
big_meat_s,S,6,6.2
big_meat_m,M,8,8.5
big_meat_l,L,9,9.5
classic_dlx_s,S,6,5.8
classic_dlx_m,M,8,7.7
classic_dlx_l,L,9,8.6
hawaiian_s,S,5.1,5
hawaiian_m,M,7.3,7.1
hawaiian_l,L,8,7.7
ital_cpcllo_s,S,6,6.2
ital_cpcllo_m,M,8,8.5
ital_cpcllo_l,L,9,9.5
napolitana_s,S,6.1,6.2
napolitana_m,M,8.2,8.5
napolitana_l,L,9.1,9.5
pep_msh_pep_s,S,5.5,5.3
pep_msh_pep_m,M,7.2,7
pep_msh_pep_l,L,8.3,8.1
pepperoni_s,S,4.5,4.7
pepperoni_m,M,5.7,5.8
pepperoni_l,L,7.6,7.8
the_greek_s,S,6.1,6.2
the_greek_m,M,8.2,8.5
the_greek_l,L,9.1,9.5
the_greek_xl,XL,10,9.8
the_greek_xxl,XXL,17,15.5
brie_carre_s,S,9.6,9.9
calabrese_s,S,6.1,6.2
calabrese_m,M,8.2,8.5
calabrese_l,L,9.1,9.5
ital_supr_s,S,6.1,6.2
ital_supr_m,M,8.2,8.5
ital_supr_l,L,9.1,9.5
peppr_salami_s,S,6.1,6.2
peppr_salami_m,M,8.2,8.5
peppr_salami_l,L,9.1,9.5
prsc_argla_s,S,5.6,5.9
prsc_argla_m,M,8,8.3
prsc_argla_l,L,9.2,9.5
sicilian_s,S,6.5,6.8
sicilian_m,M,8,8.6
sicilian_l,L,8.8,9
soppressata_s,S,6.5,6.8
soppressata_m,M,8,8.6
soppressata_l,L,8.8,9
spicy_ital_s,S,6.5,6.8
spicy_ital_m,M,8,8.6
spicy_ital_l,L,8.8,9
spinach_supr_s,S,6.5,6.8
spinach_supr_m,M,8,8.6
spinach_supr_l,L,8.8,9
five_cheese_s,S,6.5,6.8
five_cheese_m,M,8,8.6
five_cheese_l,L,8.8,9
four_cheese_s,S,6.1,6.2
four_cheese_m,M,8.2,8.5
four_cheese_l,L,9.1,9.5
green_garden_s,S,6.1,6.2
green_garden_m,M,8.2,8.5
green_garden_l,L,9.1,9.5
ital_veggie_s,S,6.4,6.7
ital_veggie_m,M,8.6,8.9
ital_veggie_l,L,9.5,9.8
mediterraneo_s,S,6.1,6.2
mediterraneo_m,M,8.2,8.5
mediterraneo_l,L,9.1,9.5
mexicana_s,S,6.4,6.7
mexicana_m,M,8.6,8.9
mexicana_l,L,9.5,9.8
spin_pesto_s,S,6.4,6.7
spin_pesto_m,M,8.6,8.9
spin_pesto_l,L,9.5,9.8
spinach_fet_s,S,6.1,6.2
spinach_fet_m,M,8.2,8.5
spinach_fet_l,L,9.1,9.5
veggie_veg_s,S,6.1,6.2
veggie_veg_m,M,8.2,8.5
veggie_veg_l,L,9.1,9.5
